Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)
ENSG00000261657	HG991_PATCH	66119285	66465398
ENSG00000223116	13	23551994	23552136
ENSG00000233440	13	23708313	23708703
ENSG00000207157	13	23726725	23726825
ENSG00000229483	13	23743974	23744736
ENSG00000252952	13	23791571	23791673
ENSG00000235205	13	23817659	23821323
ENSG00000232849	13	93708910	93710179
ENSG00000236803	13	23841645	23843289
ENSG00000232163	13	23947562	23948200
ENSG00000252365	13	94021100	94021213
ENSG00000229558	13	23993110	24002818
ENSG00000235784	13	94047230	94048108
ENSG00000224394	13	94470677	94488397
ENSG00000212559	13	94677724	94677852
ENSG00000232977	13	24040710	24061603
ENSG00000236520	13	94806447	94840245
ENSG00000227893	13	24072935	24077013
ENSG00000212057	13	95117554	95117644
ENSG00000222129	13	95303651	95303783
ENSG00000232102	13	24340073	24340243
ENSG00000242037	13	95351479	95351756
ENSG00000238230	13	95351948	95355116
ENSG00000227640	13	95364970	95368500
ENSG00000205861	13	24463028	24471402
ENSG00000235768	13	95409705	95411526
ENSG00000237924	13	95412807	95413269
ENSG00000260962	13	95612295	95613573
ENSG00000252335	13	95671489	95671590
ENSG00000238463	13	95862598	95862702
ENSG00000223298	13	95963084	95963209
ENSG00000196593	13	24513696	24520921
ENSG00000200211	13	95988360	95988455
ENSG00000271492	13	96046303	96046708
ENSG00000223392	13	96131698	96186164
ENSG00000228741	13	24553949	24609166
ENSG00000247400	13	96300987	96329179
ENSG00000225674	13	24696204	24697953
ENSG00000229622	13	96344792	96346226
ENSG00000252695	13	24736555	24736643
ENSG00000227213	13	24826887	24828577
ENSG00000227714	13	96346237	96346749
ENSG00000240868	13	24889863	24895736
ENSG00000232373	13	96346823	96347959
ENSG00000234627	13	24902349	24903210
ENSG00000251901	13	96366931	96367032
ENSG00000261498	13	24905588	24911259
ENSG00000226977	13	96461564	96461861
ENSG00000233545	13	24974841	24975167
ENSG00000242614	13	96821799	96822099
ENSG00000233273	13	97225913	97226753
ENSG00000205822	13	24982295	25171814
ENSG00000235137	13	97536096	97542067
ENSG00000243300	13	97593535	97636426
ENSG00000266216	13	25129366	25129451
ENSG00000244615	13	25140981	25144866
ENSG00000234267	13	97599891	97601181
ENSG00000243008	13	25141011	25171814
ENSG00000272329	13	97600272	97601838
ENSG00000211508	13	25183217	25183313
ENSG00000222472	13	97601503	97601787
ENSG00000207474	13	25277694	25277803
ENSG00000252154	13	97618195	97618268
ENSG00000225404	13	25278476	25278926
ENSG00000238522	13	97709633	97709734
ENSG00000233124	13	97824723	97831876
ENSG00000231417	13	25316815	25320322
ENSG00000202290	13	98015226	98015355
ENSG00000271625	13	98127996	98128713
ENSG00000226695	13	25324795	25326309
ENSG00000226134	13	98327265	98330217
ENSG00000238407	13	98538063	98538166
ENSG00000233291	13	98553907	98554542
ENSG00000270725	13	98591610	98605793
ENSG00000253771	13	25498815	25542625
ENSG00000232217	13	98639204	98639470
ENSG00000222969	13	98856089	98856446
ENSG00000263399	13	98860778	98860854
ENSG00000269189	13	98885904	98886954
ENSG00000269599	13	98981909	98985490
ENSG00000251299	13	25517713	25518636
ENSG00000231194	13	99087659	99088094
ENSG00000271437	13	99205497	99206034
ENSG00000232858	13	25562715	25563063
ENSG00000224418	13	99229498	99231084
ENSG00000256305	13	25715794	25716046
ENSG00000217686	13	99262546	99263130
ENSG00000234056	13	25746966	25754217
ENSG00000233549	13	99281940	99282243
ENSG00000238169	13	25755579	25763898
ENSG00000233662	13	99293068	99293493
ENSG00000225105	13	25767245	25784433
ENSG00000243366	13	99324234	99324529
ENSG00000235315	13	25780187	25780644
ENSG00000229918	13	99484338	99486883
ENSG00000261530	HG706_PATCH	75610476	75660403
ENSG00000221324	13	25820669	25820753
ENSG00000260509	13	25874262	25875576
ENSG00000231981	13	99601973	99602701
ENSG00000234152	13	25939937	25940293
ENSG00000265546	13	26027137	26027428
ENSG00000260666	HG706_PATCH	75418301	75455198
ENSG00000207298	13	99677488	99677599
ENSG00000199767	13	26091257	26091363
ENSG00000260992	13	99740073	99740879
ENSG00000180803	13	26437388	26437805
ENSG00000230871	13	99825847	99826744
ENSG00000242381	13	26518632	26518891
ENSG00000260334	HG185_PATCH	39868578	39872221
ENSG00000223158	13	26524842	26524959
ENSG00000231983	13	26626414	26627523
ENSG00000234005	13	99842833	99843245
ENSG00000228889	13	99848631	99852964
ENSG00000233963	13	26688547	26728313
ENSG00000201793	13	99857962	99858260
ENSG00000218502	13	99867626	99868012
ENSG00000207719	13	100008385	100008482
ENSG00000234706	13	26691686	26693102
ENSG00000228808	13	100024427	100024940
ENSG00000271559	13	26803469	26803781
ENSG00000238241	13	100060035	100061316
ENSG00000227882	13	26808350	26811266
ENSG00000266207	13	100105650	100105723
ENSG00000203441	13	100151981	100153306
ENSG00000234031	13	27151023	27151812
ENSG00000212197	13	100188573	100188650
ENSG00000234168	13	100229366	100232622
ENSG00000237001	13	27180681	27215501
ENSG00000234239	13	100234960	100235434
ENSG00000230256	13	27479499	27479998
ENSG00000223782	13	27551680	27551926
ENSG00000263615	13	100295313	100295403
ENSG00000218198	13	27591688	27592046
ENSG00000227659	13	100342335	100343225
ENSG00000232162	13	27736992	27743272
ENSG00000234303	13	100378501	100379745
ENSG00000230641	13	27746396	27757135
ENSG00000234772	13	27810419	27810948
ENSG00000201245	13	100436111	100436237
